frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,1400.0509033203125,803.4105834960938,0.6289455890655518,0.0,0.0,0.20965833961963654,1406.22802734375,791.8154296875,0.6759676933288574,0.0,0.0,0.14859835803508759,1387.109619140625,764.6111450195312,0.7846170663833618,1284.8284912109375,745.6390380859375,0.8066288232803345,1308.13525390625,800.5910034179688,0.9808066487312317,0.0,0.0,0.48638680577278137,1295.599365234375,921.5308227539062,0.955563485622406,0.0,0.0,0.4728807806968689,1373.52392578125,1005.7728881835938,0.8708065152168274,1168.424072265625,938.9559326171875,0.8271545171737671,1178.53857421875,969.17138671875,0.9252846240997314,0.0,0.0,0.3892124593257904,1234.6051025390625,1068.351806640625,0.6169475317001343,0.0,0.0,0.1676383763551712,0.0,0.0,0.2657296359539032
1,True,1399.7203369140625,803.2308349609375,0.632315456867218,0.0,0.0,0.21538981795310974,1405.92236328125,791.4391479492188,0.6775861382484436,0.0,0.0,0.1531745046377182,1386.8812255859375,763.9480590820312,0.7834607362747192,1285.1700439453125,747.596923828125,0.8077864646911621,1308.133056640625,798.2274169921875,0.9805790781974792,0.0,0.0,0.4837319850921631,1295.9329833984375,915.92236328125,0.9544321298599243,0.0,0.0,0.46670904755592346,1373.7491455078125,1002.6983642578125,0.867367148399353,1168.9620361328125,939.4949340820312,0.8277286887168884,1178.8558349609375,968.009033203125,0.9252903461456299,0.0,0.0,0.39270326495170593,1234.144775390625,1067.5286865234375,0.6194382309913635,0.0,0.0,0.1713714599609375,0.0,0.0,0.27053606510162354
2,True,1389.6483154296875,779.9470825195312,0.5357897281646729,0.0,0.0,0.13883137702941895,1397.0845947265625,766.134521484375,0.5140321254730225,0.0,0.0,0.09743063151836395,1371.607666015625,732.2450561523438,0.6415342092514038,1298.5263671875,744.7698364257812,0.8281041979789734,1258.403076171875,769.8067626953125,0.9764958620071411,1282.816162109375,896.1344604492188,0.6256929636001587,1234.2039794921875,960.6116333007812,0.9611261487007141,1348.19140625,963.96240234375,0.6168507933616638,1341.8388671875,980.5516357421875,0.9155229330062866,1195.1114501953125,924.9344482421875,0.8754270076751709,1163.5762939453125,944.5714111328125,0.9382890462875366,1260.5079345703125,1012.9609375,0.5261247158050537,1203.7908935546875,1057.73583984375,0.698372483253479,0.0,0.0,0.25144195556640625,0.0,0.0,0.34423238039016724
3,True,1359.947509765625,737.2273559570312,0.5206922888755798,0.0,0.0,0.1408872753381729,0.0,0.0,0.4928925931453705,0.0,0.0,0.1026003509759903,1342.59326171875,703.2182006835938,0.6384840607643127,1242.9486083984375,707.2705688476562,0.8146790266036987,1233.3380126953125,759.6886596679688,0.9502608180046082,1251.020263671875,747.139892578125,0.5668707489967346,1179.3011474609375,913.4368896484375,0.8775843977928162,1305.6116943359375,741.9424438476562,0.507021963596344,1199.75537109375,968.2152099609375,0.7803300619125366,1150.9986572265625,920.3042602539062,0.8284059166908264,1146.73388671875,950.1830444335938,0.8871065974235535,1222.6488037109375,968.5994262695312,0.6230632066726685,1202.4951171875,1026.8468017578125,0.7158663868904114,0.0,0.0,0.4161410927772522,0.0,0.0,0.4663824141025543
4,True,1322.520263671875,695.0225830078125,0.5890914797782898,0.0,0.0,0.22869041562080383,1321.5684814453125,678.54638671875,0.6039436459541321,0.0,0.0,0.25629550218582153,1295.6846923828125,660.6491088867188,0.8486331701278687,1159.53369140625,676.5170288085938,0.9037899971008301,1246.96435546875,757.7276000976562,0.9764429926872253,0.0,0.0,0.4813039004802704,1220.9093017578125,868.808349609375,0.8133629560470581,0.0,0.0,0.3508247435092926,1231.6566162109375,903.347900390625,0.584173858165741,1092.599365234375,886.1979370117188,0.896584689617157,1157.976806640625,929.8416137695312,0.93064284324646,1119.797607421875,943.0654907226562,0.7901578545570374,1190.2371826171875,1014.718017578125,0.8414133191108704,1048.459228515625,978.2474365234375,0.6322021484375,1187.775634765625,1056.8990478515625,0.6726356744766235
5,True,1322.5535888671875,694.9854125976562,0.6007254123687744,0.0,0.0,0.24006174504756927,1321.93798828125,678.4232788085938,0.6165657639503479,0.0,0.0,0.24673819541931152,1295.2266845703125,660.1417236328125,0.8386164307594299,1162.722900390625,677.1499633789062,0.8930606245994568,1242.680908203125,754.3037719726562,0.974756121635437,0.0,0.0,0.45227164030075073,1211.594970703125,857.794189453125,0.8074196577072144,0.0,0.0,0.3317191004753113,1226.7177734375,890.1900024414062,0.580438494682312,1095.035400390625,885.4012451171875,0.8946524262428284,1155.0250244140625,927.1038208007812,0.9314901232719421,1122.093505859375,943.030517578125,0.799275279045105,1185.938720703125,1011.1886596679688,0.852633535861969,1049.6905517578125,978.8688354492188,0.6584053039550781,1183.4586181640625,1054.206298828125,0.7021492719650269
6,True,0.0,0.0,0.41272419691085815,0.0,0.0,0.1379358470439911,0.0,0.0,0.27603819966316223,0.0,0.0,0.4367360770702362,1283.61181640625,629.255859375,0.7852752208709717,1115.347900390625,645.3526611328125,0.9690009355545044,1264.3948974609375,739.7432250976562,0.9683516025543213,1047.0347900390625,688.00830078125,0.8209428787231445,1244.2408447265625,865.0838623046875,0.7354496121406555,1105.9244384765625,699.77490234375,0.6168161034584045,1199.095947265625,879.072021484375,0.5185213088989258,1071.399658203125,872.9290161132812,0.9186692833900452,1182.5633544921875,920.0223999023438,0.8973186612129211,1065.071044921875,929.2939453125,0.7261724472045898,1186.9493408203125,1018.2486572265625,0.652070939540863,0.0,0.0,0.3833986222743988,0.0,0.0,0.3116028606891632
7,True,0.0,0.0,0.40988099575042725,0.0,0.0,0.13621540367603302,0.0,0.0,0.2728818953037262,0.0,0.0,0.4348759353160858,1283.6905517578125,629.241943359375,0.7841840982437134,1115.9501953125,645.3096313476562,0.9693083763122559,1264.2218017578125,739.5176391601562,0.9684616923332214,1047.150390625,688.7766723632812,0.8237179517745972,1243.9736328125,865.3070678710938,0.7372728586196899,1104.7220458984375,702.2667846679688,0.620531439781189,1198.2506103515625,880.5360717773438,0.5207582712173462,1071.890380859375,872.761474609375,0.9197952151298523,1182.478271484375,919.6884155273438,0.8983635306358337,1065.532470703125,928.5875244140625,0.7286134362220764,1186.8768310546875,1017.0736694335938,0.6540058255195618,0.0,0.0,0.38579919934272766,0.0,0.0,0.3132765591144562
8,True,0.0,0.0,0.19081251323223114,0.0,0.0,0.06331024318933487,0.0,0.0,0.16648541390895844,0.0,0.0,0.4235649108886719,1255.1470947265625,597.130615234375,0.8531908392906189,1087.42919921875,641.0955810546875,0.946534276008606,1249.7816162109375,701.9683227539062,0.9758964776992798,1018.6714477539062,680.3624267578125,0.6104429364204407,1243.13671875,818.765625,0.7402667999267578,0.0,0.0,0.32703566551208496,0.0,0.0,0.42676451802253723,1056.537841796875,841.2008666992188,0.9783852696418762,1173.12451171875,871.6473999023438,0.9808856844902039,1064.363525390625,906.17578125,0.9806243777275085,1162.2041015625,963.0961303710938,0.9802113771438599,1041.3966064453125,974.4675903320312,0.9682513475418091,1169.4971923828125,1038.170654296875,0.9660046100616455
9,True,0.0,0.0,0.19192886352539062,0.0,0.0,0.06268949806690216,0.0,0.0,0.1686459481716156,0.0,0.0,0.41888877749443054,1255.107177734375,597.097412109375,0.8563103675842285,1087.4112548828125,641.29443359375,0.9468281865119934,1249.7841796875,702.330322265625,0.9766279458999634,1018.7872924804688,680.4926147460938,0.6117547154426575,1243.318115234375,819.2203369140625,0.7482342720031738,0.0,0.0,0.32953688502311707,0.0,0.0,0.43617454171180725,1056.160400390625,841.5115356445312,0.9785045385360718,1172.7652587890625,871.96435546875,0.981208324432373,1064.121826171875,906.3006591796875,0.9804086685180664,1162.196044921875,963.1450805664062,0.9802289009094238,1041.047607421875,974.4321899414062,0.9676006436347961,1169.3726806640625,1037.90478515625,0.9655701518058777
